school,roomName,seatName,devSn
大学城校区,4楼北面走廊（C区）,4C-008,100587887
大学城校区,4楼北面走廊（C区）,4C-016,100587895
大学城校区,4楼北面走廊（C区）,4C-024,100587903
大学城校区,4楼北面走廊（C区）,4C-032,100587911
大学城校区,4楼北面走廊（C区）,4C-040,100587919
大学城校区,4楼北面走廊（C区）,4C-048,100587927
大学城校区,4楼北面走廊（C区）,4C-056,100587935
大学城校区,4楼北面走廊（C区）,4C-064,100588685
大学城校区,4楼北面走廊（C区）,4C-072,100588693
大学城校区,4楼北面走廊（C区）,4C-080,100588701
大学城校区,4楼北面走廊（C区）,4C-088,100588709
大学城校区,4楼北面走廊（C区）,4C-096,100588717
大学城校区,4楼北面走廊（C区）,4C-104,100588725
大学城校区,4楼北面走廊（C区）,4C-112,100588733
大学城校区,4楼北面走廊（C区）,4C-120,100588741
大学城校区,4楼北面走廊（C区）,4C-001,100587880
大学城校区,4楼北面走廊（C区）,4C-009,100587888
大学城校区,4楼北面走廊（C区）,4C-017,100587896
大学城校区,4楼北面走廊（C区）,4C-025,100587904
大学城校区,4楼北面走廊（C区）,4C-033,100587912
大学城校区,4楼北面走廊（C区）,4C-041,100587920
大学城校区,4楼北面走廊（C区）,4C-049,100587928
大学城校区,4楼北面走廊（C区）,4C-057,100587936
大学城校区,4楼北面走廊（C区）,4C-065,100588686
大学城校区,4楼北面走廊（C区）,4C-073,100588694
大学城校区,4楼北面走廊（C区）,4C-081,100588702
大学城校区,4楼北面走廊（C区）,4C-089,100588710
大学城校区,4楼北面走廊（C区）,4C-097,100588718
大学城校区,4楼北面走廊（C区）,4C-105,100588726
大学城校区,4楼北面走廊（C区）,4C-113,100588734
大学城校区,4楼北面走廊（C区）,4C-002,100587881
大学城校区,4楼北面走廊（C区）,4C-010,100587889
大学城校区,4楼北面走廊（C区）,4C-018,100587897
大学城校区,4楼北面走廊（C区）,4C-026,100587905
大学城校区,4楼北面走廊（C区）,4C-034,100587913
大学城校区,4楼北面走廊（C区）,4C-042,100587921
大学城校区,4楼北面走廊（C区）,4C-050,100587929
大学城校区,4楼北面走廊（C区）,4C-058,100587937
大学城校区,4楼北面走廊（C区）,4C-066,100588687
大学城校区,4楼北面走廊（C区）,4C-074,100588695
大学城校区,4楼北面走廊（C区）,4C-082,100588703
大学城校区,4楼北面走廊（C区）,4C-090,100588711
大学城校区,4楼北面走廊（C区）,4C-098,100588719
大学城校区,4楼北面走廊（C区）,4C-106,100588727
大学城校区,4楼北面走廊（C区）,4C-114,100588735
大学城校区,4楼北面走廊（C区）,4C-003,100587882
大学城校区,4楼北面走廊（C区）,4C-011,100587890
大学城校区,4楼北面走廊（C区）,4C-019,100587898
大学城校区,4楼北面走廊（C区）,4C-027,100587906
大学城校区,4楼北面走廊（C区）,4C-035,100587914
大学城校区,4楼北面走廊（C区）,4C-043,100587922
大学城校区,4楼北面走廊（C区）,4C-051,100587930
大学城校区,4楼北面走廊（C区）,4C-059,100587938
大学城校区,4楼北面走廊（C区）,4C-067,100588688
大学城校区,4楼北面走廊（C区）,4C-075,100588696
大学城校区,4楼北面走廊（C区）,4C-083,100588704
